id;identifier;turnstile_id;android_things_in_id;android_things_out_id;created
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2020-02-08T14:13:56
2;Producer;Implementation Electronics Officer;methodology Albania;Home Namibia;2020-02-08T05:07:47
3;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;2020-02-08T13:09:54
4;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;2020-02-07T18:43:47
5;Salad;Digitized invoice;convergence;Mayotte;2020-02-08T10:17:23
6;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;2020-02-07T18:27:28
7;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;2020-02-07T15:02:29
8;index orange;Jewelery;monitor;1080p Checking Account Identity;2020-02-07T23:06:02
9;Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;2020-02-08T03:23:36
10;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;2020-02-08T09:53:06
