id;identifier;x_1;y_1;x_2;y_2
1;Canadian Dollar;53093;48945;44778;98565
2;Persistent Bulgarian Lev;76161;36965;23763;24215
3;cross-platform Point Orchestrator;39882;53577;81643;9028
4;hacking installation magenta;4077;85835;59089;32595
5;red firewall open-source;34866;64517;9617;17436
6;Yen synthesize Creative;13752;67569;34106;73521
7;azure;54144;87733;69578;25794
8;deposit;81722;98216;55520;51663
9;content-based Executive;96541;89721;55829;90041
10;deposit B2B cross-media;72595;84666;89711;85632
